id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,lat,long,posting_date
7317047999,new york city,119500,2002.0,jaguar,HUMMER H1,fair,8 cylinders,diesel,61816.0,clean,automatic,4wd,full-size,SUV,black,25.827103,-80.24152,2021-05-04T20:56:55-0400
7317047319,new york city,2999,2007.0,nissan,quest 3.5 se,good,6 cylinders,gas,120679.0,clean,other,fwd,full-size,mini-van,silver,40.6324,-74.1171,2021-05-04T20:55:05-0400
7317046012,new york city,11000,2010.0,infiniti,ex35 journey,excellent,6 cylinders,gas,90700.0,clean,automatic,4wd,mid-size,SUV,grey,40.9177,-73.895,2021-05-04T20:51:31-0400
7317045906,new york city,19995,2017.0,lexus,is,fair,5 cylinders,gas,66074.0,clean,automatic,4wd,full-size,sedan,white,40.81603,-73.46397,2021-05-04T20:51:10-0400
7317044354,new york city,2899,2003.0,nissan,murano sl awd,good,6 cylinders,gas,189000.0,clean,automatic,4wd,mid-size,SUV,silver,40.6205,-73.9239,2021-05-04T20:46:56-0400
7317043966,new york city,0,2016.0,dodge,durango,excellent,5 cylinders,gas,56576.0,clean,automatic,4wd,full-size,SUV,grey,40.6621,-73.7353,2021-05-04T20:46:02-0400
7317042377,new york city,27995,2018.0,alfa-romeo,romeo stelvio,fair,5 cylinders,gas,21977.0,clean,automatic,4wd,full-size,SUV,grey,40.885409,-73.829146,2021-05-04T20:41:24-0400
7317042189,new york city,15950,2019.0,nissan,titan,fair,8 cylinders,gas,44499.0,clean,automatic,4wd,full-size,pickup,white,25.827103,-80.24152,2021-05-04T20:40:51-0400
7317041865,new york city,800,1999.0,honda,accord,fair,4 cylinders,gas,160985.0,clean,automatic,rwd,mid-size,coupe,brown,40.705001,-73.600642,2021-05-04T20:39:57-0400
7317041154,new york city,15295,2012.0,ford,econoline e250,excellent,5 cylinders,gas,64114.0,clean,automatic,4wd,full-size,van,grey,40.6621,-73.7353,2021-05-04T20:38:06-0400
7317040853,new york city,4600,2007.0,chevrolet,impala,excellent,4 cylinders,gas,165933.0,clean,automatic,4wd,mid-size,sedan,white,40.6958,-73.7617,2021-05-04T20:37:15-0400
7317040704,new york city,3950,2008.0,nissan,altima,fair,5 cylinders,gas,175500.0,clean,automatic,4wd,full-size,offroad,grey,40.5839,-73.9536,2021-05-04T20:36:51-0400
7317039043,new york city,17990,2011.0,mercedes-benz,benz gl450,excellent,8 cylinders,gas,56794.0,clean,automatic,4wd,full-size,SUV,silver,41.397054,-73.440256,2021-05-04T20:32:21-0400
7317038642,new york city,2500,2006.0,jeep,liberty 4x4,good,6 cylinders,gas,179000.0,clean,automatic,4wd,sub-compact,SUV,white,40.8011,-73.9371,2021-05-04T20:31:13-0400
